fc,G,V_sat,p
270,4.09787823913108,0.0498905371699155,0.97626953125
275,6.63978856387672,0.062146529358448,1.01005859375
280,7.91290952319503,0.0674100012201953,1.131640625
285,7.98304265867854,0.0657761295793923,1.08623046875
290,8.46122804091954,0.0640935939995898,1.12802734375
295,9.72396529120348,0.0618898350209,0.81435546875
300,11.2616039517771,0.0627638029144884,1.00126953125
305,11.3516096882215,0.0613729572181107,1.06494140625
310,11.6185973176133,0.0591424089568438,0.82998046875
315,13.0722712227691,0.0559373496045991,0.87822265625
320,16.0570977051602,0.0528613079866573,0.8287109375
325,17.61084318751,0.0470751600238441,0.74521484375
330,16.2604982873808,0.0400008348037559,0.7203125
