fc,A,q_1,B,q_2
270,-8129.31498878023,1.73540502610166,12.2661781754599,578.202503461668
275,-10836.3260519939,1.86050561118522,130.938224263618,58.024572588524
280,-20075.2547411611,2.10902834478033,80.9782930685805,31.4452631929335
285,-22941.5711471378,2.09220843209221,42.8173855895381,209.801105729782
290,-640285.380123361,2.51386528206156,0.0182373224193526,2.3693392201641
295,-14627805.0211923,2.97342887209752,0.0109711777462018,2.55251250664948
300,-62037.5153619526,1.73436662122553,0.0159741377985245,1.89718743634158
305,-111178.722551121,1.78624189627037,0.0127085886015254,1.8641414095901
310,-18904.858927607,1.42604605448868,0.019002845849908,1.72864986320695
315,-172041.435407865,1.6949106101072,0.00856948720081247,1.74035283258193
320,-1252080.11187091,1.91259554995186,0.00405939216133942,1.73942354731908
325,-4507908.61569416,1.9816558078843,0.00178010689973221,1.67569113204441
330,-217584.287866631,1.69702900616129,0.0036511238296418,1.57187745638832
